Question Code,P-value,Cramérs V statistic,Question
"<a href=""https://www.ark.ac.uk/nilt/2025/Political_Attitudes/POLPART2.html"">POLPART2</a>",2.9e-91,0.24901563617133787,Political party support
"<a href=""https://www.ark.ac.uk/nilt/2025/Political_Attitudes/IRBRIT.html"">IRBRIT</a>",3.5e-59,0.1986626744673914,Do you see yourself as Irish or British?
"<a href=""https://www.ark.ac.uk/nilt/2025/Political_Attitudes/UNINATID.html"">UNINATID</a>",1.3e-59,0.19651879016967866,"Do you think of yourself as a unionist, a nationalist or neither?"
"<a href=""https://www.ark.ac.uk/nilt/2025/Background/PROTCATH.html"">PROTCATH</a>",3.5e-52,0.18045876067728625,"Do you see yourself as part of the Protestant community, Catholic community, or neither?"
"<a href=""https://www.ark.ac.uk/nilt/2025/Background/HIGHQUAL2.html"">HIGHQUAL2</a>",3.1e-45,0.17664970235080651,Highest educational qualification of respondent
"<a href=""https://www.ark.ac.uk/nilt/2025/Background/TEA.html"">TEA</a>",1.5e-39,0.16513421396074382,Age when completed continuous full-time education
"<a href=""https://www.ark.ac.uk/nilt/2025/Background/RELIGCAT.html"">RELIGCAT</a>",2.7e-39,0.15857310172254488,Do you regard yourself as belonging to any particular religion? (Classified into 3 categories)
"<a href=""https://www.ark.ac.uk/nilt/2025/Background/PRELCODE.html"">PRELCODE</a>",5.3e-07,0.1513712514262028,What is your spouse's/partner's religion? (Classified into 3 categories)
"<a href=""https://www.ark.ac.uk/nilt/2025/Background/HCONDACT.html"">HCONDACT</a>",1.4e-10,0.14421862803536492,Does your condition or illness reduce your ability to carry-out day-to-day activities?
"<a href=""https://www.ark.ac.uk/nilt/2025/Background/HHLDINC3.html"">HHLDINC3</a>",2.0e-17,0.1366084769146756,Household income before tax and National Insurance.
"<a href=""https://www.ark.ac.uk/nilt/2025/Background/FAMRCODE.html"">FAMRCODE</a>",3.4e-29,0.135482532515544,What religion were you brought up in? (Classified into 3 categories)
"<a href=""https://www.ark.ac.uk/nilt/2025/Background/NSSEC2.html"">NSSEC2</a>",8.5e-14,0.1323218842205852,Partner NS_SEC (Social Economic Classification)
"<a href=""https://www.ark.ac.uk/nilt/2025/Background/NSSEC1.html"">NSSEC1</a>",5.0e-18,0.11410578241764818,Respondent NS_SEC (Social Economic Classification)
"<a href=""https://www.ark.ac.uk/nilt/2025/Background/BILL500.html"">BILL500</a>",3.8e-16,0.10882380139666588,"Could your household afford to pay an unexpected, but necessary, expense of Â£500?"
"<a href=""https://www.ark.ac.uk/nilt/2025/Background/PERSINC3.html"">PERSINC3</a>",1.3e-08,0.10635533612496662,Personal income before tax and National Insurance.
"<a href=""https://www.ark.ac.uk/nilt/2025/Background/RECONACT2.html"">RECONACT2</a>",4.5e-13,0.1048591012027132,Employment status of respondent
"<a href=""https://www.ark.ac.uk/nilt/2025/Background/SRINC.html"">SRINC</a>",2.2e-16,0.1028534286975552,Among what income group would you place yourself?
"<a href=""https://www.ark.ac.uk/nilt/2025/Background/CHDMXSCH.html"">CHDMXSCH</a>",5.6e-15,0.09988616483178077,Has any child in your care attended a mixed/integrated school in Northern Ireland?
"<a href=""https://www.ark.ac.uk/nilt/2025/Background/PAYBILLSC.html"">PAYBILLSC</a>",5.0e-08,0.09802035071677631,How well has your household kept up with bills and credit commitments in the past year?
"<a href=""https://www.ark.ac.uk/nilt/2025/Background/TENSHT1.html"">TENSHT1</a>",5.4e-13,0.0955880172599327,Household tenure
"<a href=""https://www.ark.ac.uk/nilt/2025/Background/PECONACT2.html"">PECONACT2</a>",3.4e-04,0.08769771973278963,Employment status of partner
"<a href=""https://www.ark.ac.uk/nilt/2025/Background/OUTOFNI.html"">OUTOFNI</a>",1.3e-12,0.08280352317451882,Have you lived outside Northern Ireland for more than six months?
"<a href=""https://www.ark.ac.uk/nilt/2025/Background/ROIRELND.html"">ROIRELND</a>",1.1e-02,0.0731543248913425,Did you live in the Republic of Ireland?
"<a href=""https://www.ark.ac.uk/nilt/2025/Background/HINCPAST.html"">HINCPAST</a>",4.5e-04,0.07210775541302385,Has your household's income fallen behind prices over the last year?
"<a href=""https://www.ark.ac.uk/nilt/2025/Background/OUTELSE.html"">OUTELSE</a>",4.7e-02,0.06643337031394334,Did you live outside the UK or Ireland?
"<a href=""https://www.ark.ac.uk/nilt/2025/Background/PAYHEAT.html"">PAYHEAT</a>",2.1e-06,0.06585522794215574,"Did your household turn heating down or off because you could not afford the costs last winter, even though it was too cold in the house/flat?"
"<a href=""https://www.ark.ac.uk/nilt/2025/Background/LIVEAREA.html"">LIVEAREA</a>",3.9e-05,0.06402468680621476,How long have you lived in the town where you live now?
"<a href=""https://www.ark.ac.uk/nilt/2025/Background/RAGECAT.html"">RAGECAT</a>",4.2e-05,0.061472575053662146,Age of respondent (in age categories)
"<a href=""https://www.ark.ac.uk/nilt/2025/Background/PLACELIV.html"">PLACELIV</a>",3.3e-03,0.0581097733536852,How would you describe the place where you live?
"<a href=""https://www.ark.ac.uk/nilt/2025/Background/CAREHOME.html"">CAREHOME</a>",2.3e-05,0.057226163200175574,Is there anyone living with you whom you look after?
"<a href=""https://www.ark.ac.uk/nilt/2025/Background/CARESEP.html"">CARESEP</a>",8.6e-06,0.0565584708097676,Do you provide regular service/help for someone not living with you?
"<a href=""https://www.ark.ac.uk/nilt/2025/Background/CHATTND2.html"">CHATTND2</a>",2.4e-01,0.055712227751852035,How often do you attend church services/meetings?
"<a href=""https://www.ark.ac.uk/nilt/2025/Background/HOUSEHLD.html"">HOUSEHLD</a>",5.7e-02,0.04935597725476641,Number in household
"<a href=""https://www.ark.ac.uk/nilt/2025/Background/RMARST2.html"">RMARST2</a>",2.1e-01,0.046158396198704744,Marital/partnership status of respondent
"<a href=""https://www.ark.ac.uk/nilt/2025/Background/PEMPST2.html"">PEMPST2</a>",2.7e-03,0.044966575323099924,Is partner in paid employment?
"<a href=""https://www.ark.ac.uk/nilt/2025/Background/ELSEUK.html"">ELSEUK</a>",1.6e-01,0.04283762847054453,Did you live elsewhere in the United Kingdom?
"<a href=""https://www.ark.ac.uk/nilt/2025/Background/PECACT.html"">PECACT</a>",6.3e-03,0.04105320814244813,Is partner economically active?
"<a href=""https://www.ark.ac.uk/nilt/2025/Background/RSEX.html"">RSEX</a>",4.9e-04,0.04080213800937124,Sex of respondent
"<a href=""https://www.ark.ac.uk/nilt/2025/Background/RLIVTOG.html"">RLIVTOG</a>",1.4e-01,0.03729960112354452,Is respondent living with someone household as a couple?
"<a href=""https://www.ark.ac.uk/nilt/2025/Background/ECACT.html"">ECACT</a>",5.9e-03,0.032207979094407216,Is respondent economically active?
"<a href=""https://www.ark.ac.uk/nilt/2025/Background/SLFMXSCH.html"">SLFMXSCH</a>",2.8e-02,0.03127932971877804,Did you attend a mixed or integrated school in Northern Ireland?
"<a href=""https://www.ark.ac.uk/nilt/2025/Background/EMPST2.html"">EMPST2</a>",2.3e-02,0.026675469048217017,Is respondent in paid employment?
"<a href=""https://www.ark.ac.uk/nilt/2025/Background/FORMINT.html"">FORMINT</a>",8.2e-01,0.016864227556906888,Did you attend a formally integrated school?
"<a href=""https://www.ark.ac.uk/nilt/2025/Background/ANYHCOND.html"">ANYHCOND</a>",1.7e-01,0.016033822640908413,Do you have any physical or mental health conditions or illnesses lasting or expected to last for 12 months or more?
"<a href=""https://www.ark.ac.uk/nilt/2025/Background/ANYHCONDA.html"">ANYHCONDA</a>",9.9e-01,0.006010041125484819,Does anyone else in your household have any physical or mental health conditions or illnesses lasting or expected to last for 12 months or more?
